##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
##CELL PARAMETERS=a: 8.1297(1) b: 8.1297(1) c: 8.1297(1) alpha: 90 beta: 90 gamma: 90 volume: 537.31(2) crystal system: cubic
11.22000, 6.551598
11.23000, 3.341805
11.24000, 20.35083
11.25000, 20.35974
11.26000, 25.27776
11.27000, 26.28648
11.28000, 22.29514
11.29000, 6.303680
11.30000, 13.56898
11.31000, 17.57732
11.32000, 15.58556
11.33000, 3.403076
11.34000, 7.605835
11.35000, 30.61464
11.36000, 4.623329
11.37000, 10.63190
11.38000, 24.64037
11.39000, 17.64870
11.40000, 40.65694
11.41000, 11.66505
11.42000, 1.326942
11.43000, 15.67969
11.44000, 4.686218
11.45000, 14.69263
11.46000, 28.69893
11.47000, 26.70511
11.48000, 21.71199
11.49000, 18.71877
11.50000, 16.72542
11.51000, 7.731956
11.52000, 37.73838
11.53000, 17.74471
11.54000, 1.750900
11.55000, 20.75698
11.56000, 26.76349
11.57000, 10.76989
11.58000, 27.77618
11.59000, 14.78234
11.60000, 5.788696
11.61000, 23.79626
11.62000, 13.80371
11.63000, 12.81106
11.64000, 1.181702
11.65000, 13.82635
11.66000, 9.165688
11.67000, 35.83733
11.68000, 7.840233
11.69000, 13.84303
11.70000, 5.845711
11.71000, 10.84830
11.72000, 14.85078
11.73000, 10.85315
11.74000, 24.85573
11.75000, 25.85967
11.76000, 11.86352
11.77000, 0.1327360
11.78000, 21.87030
11.79000, 22.87324
11.80000, 29.87608
11.81000, 8.654709
11.82000, 11.34422
11.83000, 41.34306
11.84000, 22.34183
11.85000, 24.34054
11.86000, 36.33917
11.87000, 36.33775
11.88000, 3.336258
