##NAMES=Bindheimite
##RRUFFID=R050546
##IDEAL CHEMISTRY=Pb^2+^_2_Sb^5+^_2_O_7_
##LOCALITY=Arabia District, Pershing County, Nevada, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow-brown coarsely fibrous massive, intimately mixed with mimetite
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050546
##MEASURED CHEMISTRY=(Pb_1.33_Fe_0.47_Ca_0.20_)_Σ=2_(Sb^5+^_1.97_As^5+^_0.03_)_Σ=2_O_7_  ;(darker phase, with trace amounts of Na);   (Pb_4.07_Ca_0.92_Fe_0.01_)_Σ=5_((As_2.97_Sb_0.03_)_Σ=1_O_4_)_3_Cl_1.00_ (lighter phase = mimetite)
##CELL PARAMETERS=a: 10.4424(8) b: 10.4424(8) c: 10.4424(8) alpha: 90 beta: 90 gamma: 90 volume: 1138.7(3) crystal system: cubic
13.10000, 6.959856
13.11000, 2.962283
13.12000, 11.96471
13.13000, 5.7374999E-02
13.14000, 9.944977
13.15000, 1.947463
13.16000, 2.949959
13.17000, 1.047544
13.18000, 5.954352
13.19000, 1.956246
13.20000, 4.958140
13.21000, 3.960036
13.22000, 0.9619300
13.23000, 2.036175
13.24000, 4.964703
13.25000, 0.9655810
13.26000, 3.966460
13.27000, 7.826855
13.28000, 2.827743
13.29000, 4.828641
13.30000, 4.829548
13.31000, 0.1694360
13.32000, 1.831582
13.33000, 4.832609
13.34000, 1.833645
13.35000, 2.834691
13.36000, 6.835746
13.37000, 2.836810
13.38000, 0.8378880
13.39000, 1.838976
13.40000, 7.840074
13.41000, 4.841183
13.42000, 1.842302
13.43000, 6.843432
13.44000, 3.844572
13.45000, 2.845722
13.46000, 5.846884
13.47000, 8.848055
13.48000, 4.837526
13.49000, 1.838719
13.50000, 1.840106
13.51000, 3.841509
13.52000, 3.767546
13.53000, 2.768973
13.54000, 5.770417
13.55000, 6.771876
13.56000, 0.7733510
13.57000, 8.774838
13.58000, 7.776348
13.59000, 1.777871
13.60000, 5.779409
13.61000, 0.2933470
13.62000, 0.7081850
13.63000, 0.2902650
13.64000, 1.711180
13.65000, 3.712643
13.66000, 6.714124
13.67000, 2.715623
13.68000, 4.717140
13.69000, 2.718674
13.70000, 0.2797740
13.71000, 5.721679
13.72000, 2.723150
13.73000, 1.724639
13.74000, 0.2738540
13.75000, 7.727558
13.76000, 3.729335
13.77000, 1.770539
13.78000, 0.2276520
13.79000, 2.774076
13.80000, 2.775820
13.81000, 4.777579
13.82000, 1.779353
13.83000, 2.781143
13.84000, 1.782948
13.85000, 6.784769
13.86000, 6.786604
13.87000, 3.788456
13.88000, 3.790323
13.89000, 3.792204
13.90000, 1.794102
13.91000, 5.832619
13.92000, 7.834543
13.93000, 4.836577
13.94000, 2.838624
13.95000, 0.9384520
13.96000, 2.940650
13.97000, 3.942856
13.98000, 4.945070
13.99000, 3.947290
14.00000, 4.046454
14.01000, 5.048682
14.02000, 3.043784
14.03000, 4.6014000E-02
14.04000, 7.048234
14.05000, 8.050454
14.06000, 6.052676
14.07000, 1.054900
14.08000, 4.057124
14.09000, 7.059348
14.10000, 3.061573
14.11000, 5.063795
14.12000, 6.6407003E-02
14.13000, 5.069013
14.14000, 3.071619
14.15000, 4.074224
14.16000, 2.076828
14.17000, 1.079683
14.18000, 4.173105
14.19000, 4.175954
14.20000, 0.8212010
14.21000, 6.181161
14.22000, 8.183906
14.23000, 2.186646
14.24000, 0.8106210
14.25000, 3.191636
14.26000, 2.193888
14.27000, 2.196134
14.28000, 1.198375
14.29000, 1.200990
14.30000, 2.203600
14.31000, 0.2062050
14.32000, 0.2088040
14.33000, 5.204473
