##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
##CELL PARAMETERS=a: 4.7165(9) b: 10.3827(8) c: 6.0468(8) alpha: 90. beta: 90. gamma: 90. volume: 296.11(4) crystal system: orthorhombic
13.310, 25.952
13.320, 9.945
13.330, 10.937
13.340, 9.928
13.350, 21.921
13.360, 7.913
13.370, 8.906
13.380, 15.732
13.390, 7.724
13.400, 13.717
13.410, 13.710
13.420, 8.703
13.430, 18.697
13.440, 10.690
13.450, 14.510
13.460, 0.503
13.470, 16.496
13.480, 24.490
13.490, 0.483
13.500, 2.577
13.510, 21.467
13.520, 8.458
13.530, 7.448
13.540, 4.843
13.550, 17.835
13.560, 26.826
13.570, 12.818
13.580, 4.810
13.590, 8.801
13.600, 15.793
13.610, 8.785
13.620, 1.223
13.630, 7.768
13.640, 25.760
13.650, 5.752
13.660, 25.745
13.670, 8.738
13.680, 22.731
13.690, 20.724
13.700, 13.717
13.710, 20.710
13.720, 0.519
13.730, 20.697
13.740, 0.688
13.750, 4.680
13.760, 0.536
13.770, 7.662
13.780, 3.652
13.790, 17.642
13.800, 1.632
13.810, 10.764
13.820, 7.116
13.830, 31.106
13.840, 3.513
13.850, 0.503
13.860, 12.494
13.870, 1.913
13.880, 14.490
13.890, 1.521
13.900, 30.466
13.910, 5.454
13.920, 1.529
13.930, 11.271
13.940, 7.259
13.950, 29.070
13.960, 2.059
13.970, 2.132
13.980, 13.119
13.990, 18.108
14.000, 12.096
14.010, 23.084
14.020, 21.073
14.030, 0.230
14.040, 24.220
14.050, 0.215
14.060, 21.196
14.070, 0.184
14.080, 4.173
14.090, 0.838
14.100, 7.149
14.110, 18.140
14.120, 20.129
14.130, 31.120
14.140, 21.109
14.150, 3.099
14.160, 14.089
14.170, 1.921
14.180, 13.069
14.190, 24.059
14.200, 10.887
14.210, 4.877
14.220, 24.866
14.230, 13.872
14.240, 11.863
14.250, 0.857
14.260, 10.847
14.270, 2.837
14.280, 8.828
14.290, 8.818
14.300, 1.192
14.310, 8.799
14.320, 1.555
14.330, 20.778
14.340, 22.528
14.350, 13.518
14.360, 2.507
14.370, 6.497
14.380, 13.569
14.390, 16.262
14.400, 10.252
14.410, 10.531
14.420, 21.522
14.430, 3.498
14.440, 6.490
14.450, 7.482
14.460, 18.475
14.470, 2.116
14.480, 15.459
14.490, 0.388
14.500, 14.603
14.510, 18.595
14.520, 7.586
14.530, 4.577
14.540, 8.569
14.550, 22.560
14.560, 2.551
14.570, 6.544
14.580, 4.536
14.590, 11.528
14.600, 16.521
14.610, 11.514
14.620, 7.507
14.630, 3.500
14.640, 12.493
14.650, 0.487
14.660, 11.481
14.670, 18.475
14.680, 22.469
14.690, 1.463
14.700, 3.131
14.710, 3.125
14.720, 5.120
14.730, 4.328
14.740, 16.105
14.750, 15.095
14.760, 5.086
14.770, 5.077
14.780, 11.068
14.790, 5.059
14.800, 2.050
14.810, 4.041
14.820, 6.950
14.830, 11.091
14.840, 33.379
14.850, 14.371
14.860, 6.361
14.870, 19.353
14.880, 32.345
14.890, 7.335
14.900, 17.329
14.910, 4.323
14.920, 11.141
14.930, 1.136
14.940, 16.131
14.950, 1.125
14.960, 11.917
14.970, 10.913
14.980, 7.908
14.990, 15.904
15.000, 2.102
15.010, 0.893
15.020, 10.890
15.030, 4.591
15.040, 19.881
15.050, 14.874
15.060, 0.132
15.070, 10.701
15.080, 6.696
15.090, 2.583
15.100, 13.577
15.110, 0.429
15.120, 2.628
15.130, 20.623
15.140, 13.744
15.150, 19.740
15.160, 1.265
15.170, 23.730
15.180, 3.725
15.190, 4.720
15.200, 6.716
15.210, 4.711
15.220, 0.430
15.230, 17.700
15.240, 4.693
15.250, 11.521
15.260, 7.517
15.270, 30.690
15.280, 12.795
15.290, 0.730
15.300, 19.727
15.310, 11.723
15.320, 19.719
15.330, 9.717
15.340, 20.713
15.350, 6.709
15.360, 9.750
15.370, 9.888
15.380, 3.884
15.390, 7.881
15.400, 4.879
15.410, 15.877
15.420, 0.125
15.430, 19.873
15.440, 0.416
15.450, 17.868
15.460, 25.865
15.470, 17.863
15.480, 3.861
15.490, 2.041
15.500, 3.958
15.510, 27.956
15.520, 13.793
