##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
##CELL PARAMETERS=a: 13.8704(3) b: 13.8704(3) c: 13.8704(3) alpha: 90 beta: 90 gamma: 90 volume: 2668.5(0) crystal system: cubic
13.86000, 10.33253
13.87000, 13.33854
13.88000, 10.34453
13.89000, 10.35091
13.90000, 12.48771
13.91000, 6.494038
13.92000, 12.50033
13.93000, 17.50660
13.94000, 10.51284
13.95000, 10.51904
13.96000, 0.5252210
13.97000, 11.53239
13.98000, 8.539539
13.99000, 16.54665
14.00000, 13.55373
14.01000, 9.560787
14.02000, 6.567806
14.03000, 26.57479
14.04000, 2.415508
14.05000, 9.592875
14.06000, 12.60124
14.07000, 14.60956
14.08000, 11.61786
14.09000, 15.62613
14.10000, 15.63483
14.11000, 25.64349
14.12000, 14.65212
14.13000, 3.660709
14.14000, 22.66806
14.15000, 11.67659
14.16000, 16.68507
14.17000, 10.69448
14.18000, 18.70386
14.19000, 10.71320
14.20000, 12.72252
14.21000, 5.731918
14.22000, 3.741289
14.23000, 11.75063
14.24000, 8.792318
14.25000, 4.801605
14.26000, 1.810863
14.27000, 9.821247
14.28000, 13.83160
14.29000, 7.842340
14.30000, 5.853050
14.31000, 5.863733
14.32000, 8.874382
14.33000, 13.88500
14.34000, 2.038267
14.35000, 4.048817
14.36000, 8.059324
14.37000, 16.02416
14.38000, 13.03475
14.39000, 2.045311
14.40000, 4.055838
14.41000, 15.06633
14.42000, 12.08955
14.43000, 17.09996
14.44000, 4.110332
14.45000, 9.121574
14.46000, 4.132776
14.47000, 11.97458
14.48000, 1.4282000E-02
14.49000, 16.99672
14.50000, 12.00769
14.51000, 11.01863
14.52000, 11.03015
14.53000, 1.042000
14.54000, 1.946177
14.55000, 10.06449
14.56000, 2.075123
14.57000, 9.218643
14.58000, 10.06921
14.59000, 13.08005
14.60000, 0.1321810
14.61000, 10.87840
14.62000, 2.888958
14.63000, 6.899504
14.64000, 12.91003
14.65000, 13.92054
14.66000, 11.93103
14.67000, 13.94149
14.68000, 9.951950
14.69000, 8.962387
14.70000, 8.694859
14.71000, 5.705288
14.72000, 9.715714
14.73000, 2.726763
14.74000, 3.737808
14.75000, 14.74885
14.76000, 4.763500
14.77000, 11.77500
14.78000, 10.78649
14.79000, 5.201569
14.80000, 2.192436
14.81000, 16.81548
14.82000, 7.823380
14.83000, 5.837984
14.84000, 10.84588
14.85000, 12.85378
14.86000, 12.86167
14.87000, 13.86957
14.88000, 4.877460
14.89000, 3.754261
14.90000, 2.631680
14.91000, 2.639597
14.92000, 4.647530
14.93000, 24.65548
14.94000, 6.663445
14.95000, 18.67143
14.96000, 6.679739
14.97000, 16.68807
14.98000, 8.693691
14.99000, 5.702051
15.00000, 4.765760
15.01000, 18.77415
15.02000, 1.782553
15.03000, 12.79097
15.04000, 1.799395
15.05000, 7.685867
15.06000, 11.69433
15.07000, 10.70280
15.08000, 2.762339
15.09000, 2.229143
15.10000, 9.778227
15.11000, 15.78562
15.12000, 7.793018
15.13000, 8.800442
15.14000, 18.80787
15.15000, 4.815334
15.16000, 3.062145
15.17000, 2.069635
15.18000, 3.077139
15.19000, 10.08466
15.20000, 9.092182
15.21000, 5.099720
15.22000, 3.107271
15.23000, 12.35068
15.24000, 10.23124
15.25000, 6.241495
15.26000, 10.24961
15.27000, 11.25772
15.28000, 8.265846
15.29000, 4.376842
15.30000, 10.38496
15.31000, 17.39307
15.32000, 5.401180
15.33000, 11.40930
15.34000, 4.417427
15.35000, 8.425552
15.36000, 2.433680
15.37000, 5.441792
15.38000, 8.449896
15.39000, 10.46016
15.40000, 16.48844
15.41000, 15.49868
15.42000, 5.508928
15.43000, 0.4808390
15.44000, 3.529041
15.45000, 24.53892
