##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
##CELL PARAMETERS=a: 6.9500(3) b: 8.6352(7) c: 5.7641(6) alpha: 90. beta: 104.883(6) gamma: 90. volume: 334.33(4) crystal system: monoclinic
14.800, 6.111
14.810, 0.113
14.820, 4.115
14.830, 6.116
14.840, 5.118
14.850, 0.120
14.860, 5.121
14.870, 4.123
14.880, 6.124
14.890, 4.125
14.900, 2.127
14.910, 0.128
14.920, 4.129
14.930, 0.130
14.940, 15.132
14.950, 2.120
14.960, 3.121
14.970, 9.122
14.980, 9.123
14.990, 4.124
15.000, 5.050
15.010, 7.051
15.020, 3.052
15.030, 4.053
15.040, 1.054
15.050, 6.055
15.060, 2.055
15.070, 3.056
15.080, 5.982
15.090, 5.983
15.100, 0.016
15.110, 0.016
15.120, 3.985
15.130, 0.986
15.140, 7.986
15.150, 4.987
15.160, 4.987
15.170, 6.988
15.180, 12.002
15.190, 6.002
15.200, 8.003
15.210, 3.003
15.220, 4.016
15.230, 1.017
15.240, 7.017
15.250, 0.031
15.260, 5.031
15.270, 1.108
15.280, 0.890
15.290, 3.110
15.300, 4.110
15.310, 2.110
15.320, 6.100
15.330, 9.100
15.340, 7.090
15.350, 5.234
15.360, 1.766
15.370, 5.233
15.380, 6.231
15.390, 5.230
15.400, 7.228
15.410, 3.227
15.420, 7.225
15.430, 2.224
15.440, 6.222
15.450, 6.221
15.460, 9.219
15.470, 4.217
15.480, 0.757
15.490, 8.241
15.500, 5.238
15.510, 5.267
15.520, 8.265
15.530, 2.262
15.540, 2.259
15.550, 6.256
15.560, 2.254
15.570, 3.251
15.580, 1.248
15.590, 4.245
15.600, 4.240
15.610, 12.237
15.620, 2.234
15.630, 8.230
15.640, 2.227
15.650, 2.224
15.660, 3.258
15.670, 0.293
15.680, 7.228
15.690, 7.225
15.700, 5.221
15.710, 6.217
15.720, 3.213
15.730, 7.253
15.740, 1.249
15.750, 1.244
15.760, 4.239
15.770, 7.234
15.780, 11.459
15.790, 11.455
15.800, 8.451
15.810, 4.447
15.820, 5.442
15.830, 10.438
15.840, 8.434
15.850, 15.474
15.860, 11.469
15.870, 13.465
15.880, 11.460
15.890, 14.454
15.900, 22.450
15.910, 27.309
15.920, 39.304
15.930, 30.241
15.940, 42.236
15.950, 38.231
15.960, 32.226
15.970, 30.222
15.980, 38.217
15.990, 25.213
16.000, 20.208
16.010, 19.202
16.020, 22.197
16.030, 24.192
16.040, 14.187
16.050, 13.181
16.060, 7.176
16.070, 7.171
16.080, 9.166
16.090, 15.161
16.100, 12.156
16.110, 6.150
16.120, 9.145
16.130, 15.139
16.140, 11.134
16.150, 7.130
16.160, 3.125
16.170, 11.121
16.180, 7.116
16.190, 10.111
16.200, 4.107
16.210, 7.102
16.220, 6.097
16.230, 8.093
16.240, 5.088
16.250, 4.083
16.260, 2.079
16.270, 5.074
16.280, 3.070
16.290, 7.065
16.300, 1.056
16.310, 3.047
16.320, 11.043
16.330, 1.039
16.340, 5.034
16.350, 8.030
16.360, 4.025
16.370, 0.021
16.380, 8.016
16.390, 8.011
16.400, 6.070
16.410, 0.066
16.420, 1.061
16.430, 1.056
16.440, 0.050
16.450, 10.042
16.460, 0.963
16.470, 0.031
16.480, 10.961
16.490, 1.955
16.500, 5.949
16.510, 0.943
16.520, 5.936
16.530, 3.930
16.540, 2.076
16.550, 2.916
16.560, 4.787
16.570, 2.779
16.580, 5.771
16.590, 3.764
16.600, 3.756
16.610, 2.748
16.620, 7.740
16.630, 4.733
16.640, 0.725
16.650, 3.717
16.660, 0.709
16.670, 0.299
16.680, 6.634
16.690, 7.626
16.700, 0.383
16.710, 4.609
16.720, 4.600
16.730, 2.592
16.740, 2.583
16.750, 2.575
16.760, 7.566
16.770, 2.557
16.780, 3.549
16.790, 7.540
16.800, 2.531
16.810, 5.523
16.820, 5.514
16.830, 8.506
16.840, 3.497
16.850, 0.512
16.860, 0.521
16.870, 1.467
16.880, 5.458
16.890, 0.449
16.900, 10.440
16.910, 4.431
16.920, 2.578
16.930, 1.412
16.940, 4.402
16.950, 2.392
16.960, 2.382
16.970, 3.526
16.980, 13.462
16.990, 1.450
17.000, 7.438
17.010, 1.426
17.020, 6.414
17.030, 2.402
17.040, 0.609
17.050, 5.378
17.060, 2.366
17.070, 5.354
17.080, 5.341
17.090, 8.329
17.100, 0.683
17.110, 1.305
17.120, 0.293
17.130, 6.282
17.140, 2.270
17.150, 4.259
17.160, 6.248
17.170, 7.237
17.180, 10.227
17.190, 9.216
17.200, 8.205
17.210, 3.196
17.220, 5.186
17.230, 11.175
17.240, 5.165
17.250, 4.154
17.260, 5.144
17.270, 0.134
17.280, 1.124
17.290, 1.286
17.300, 8.276
17.310, 4.266
17.320, 3.256
17.330, 6.246
17.340, 4.236
17.350, 1.227
17.360, 5.217
17.370, 6.207
17.380, 5.197
17.390, 1.187
17.400, 6.177
17.410, 4.167
17.420, 3.159
17.430, 6.149
17.440, 4.139
17.450, 7.129
17.460, 4.168
17.470, 4.158
17.480, 1.149
17.490, 0.140
17.500, 3.130
17.510, 2.169
17.520, 2.159
17.530, 8.149
17.540, 6.140
17.550, 7.130
17.560, 7.121
17.570, 7.098
17.580, 2.088
17.590, 0.921
17.600, 5.069
17.610, 5.047
17.620, 2.038
17.630, 8.028
17.640, 4.006
17.650, 4.996
17.660, 2.910
17.670, 6.886
17.680, 8.877
17.690, 5.868
17.700, 5.859
17.710, 4.850
17.720, 3.841
17.730, 6.832
17.740, 14.679
17.750, 10.671
17.760, 9.663
17.770, 10.655
17.780, 24.647
17.790, 15.640
17.800, 35.633
17.810, 28.625
17.820, 31.618
17.830, 28.611
17.840, 50.604
17.850, 46.597
17.860, 73.590
17.870, 72.555
17.880, 83.548
17.890, 108.542
17.900, 99.504
17.910, 115.497
17.920, 116.491
17.930, 133.485
17.940, 110.479
17.950, 126.474
17.960, 123.468
17.970, 109.462
17.980, 99.457
17.990, 114.452
18.000, 73.446
18.010, 82.442
18.020, 53.437
18.030, 42.433
