##NAMES=Piemontite
##RRUFFID=R060905
##IDEAL CHEMISTRY=Ca_2_Mn^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Praborna mine, Aosta Valley, St. Marcel, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Elongated purple single crystals associated with albite and romeite, R060323
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060905
##MEASURED CHEMISTRY=(Ca_1.82_Mn^2+^_0.12_)_Σ=2_(Al_1.95_Mn^3+^_0.97_Fe^3+^_0.08_)_Σ=3_[Si_2.00_O_7_][Si_1.00_O_4_]O(OH) ; = lighter phase, and the darker phase is albite.
##CELL PARAMETERS=a: 8.891(1) b: 5.6995(3) c: 10.228(2) alpha: 90 beta: 114.99(1) gamma: 90 volume: 469.72(9) crystal system: monoclinic
13.74000, 5.106516
13.75000, 16.11022
13.76000, 19.11392
13.77000, 17.11760
13.78000, 11.12136
13.79000, 1.125099
13.80000, 11.12944
13.81000, 16.13377
13.82000, 5.333869
13.83000, 13.33955
13.84000, 11.34520
13.85000, 14.35085
13.86000, 16.25688
13.87000, 7.262825
13.88000, 14.26875
13.89000, 25.27465
13.90000, 20.28053
13.91000, 19.28639
13.92000, 14.29222
13.93000, 9.298036
13.94000, 7.303821
13.95000, 5.309584
13.96000, 9.315321
13.97000, 17.32104
13.98000, 10.32673
13.99000, 8.332432
14.00000, 12.33811
14.01000, 8.344598
14.02000, 2.310438
14.03000, 11.31687
14.04000, 10.32328
14.05000, 3.329668
14.06000, 3.336731
14.07000, 2.343065
14.08000, 4.349438
14.09000, 11.31732
14.10000, 6.323642
14.11000, 7.329941
14.12000, 8.336216
14.13000, 7.342464
14.14000, 3.651312
14.15000, 6.352821
14.16000, 12.35692
14.17000, 13.36104
14.18000, 11.36547
14.19000, 11.36987
14.20000, 4.604139
14.21000, 3.608462
14.22000, 13.61274
14.23000, 3.616978
14.24000, 1.621169
14.25000, 12.62544
14.26000, 11.62980
14.27000, 8.634100
14.28000, 6.638365
14.29000, 1.642583
14.30000, 10.64676
14.31000, 8.650881
14.32000, 7.569468
14.33000, 4.573509
14.34000, 8.577507
14.35000, 2.581467
14.36000, 8.585383
14.37000, 0.4107440
14.38000, 6.592682
14.39000, 2.596066
14.40000, 2.599405
14.41000, 10.60270
14.42000, 6.605959
14.43000, 9.609172
14.44000, 9.612341
14.45000, 3.615467
14.46000, 8.601970
14.47000, 8.525980
14.48000, 5.529222
14.49000, 0.5324230
14.50000, 12.69184
14.51000, 7.694942
14.52000, 1.697998
14.53000, 16.70101
14.54000, 8.703965
14.55000, 4.706877
14.56000, 14.70974
14.57000, 7.712551
14.58000, 5.716862
14.59000, 3.720306
14.60000, 4.723701
14.61000, 8.727275
14.62000, 13.73206
14.63000, 5.736801
14.64000, 2.741491
14.65000, 13.74613
14.66000, 10.75072
14.67000, 8.755249
14.68000, 9.759733
14.69000, 4.764161
14.70000, 16.76854
14.71000, 10.76060
14.72000, 0.2351340
14.73000, 5.768734
14.74000, 10.61551
14.75000, 11.48406
14.76000, 1.512185
14.77000, 1.509421
14.78000, 5.492356
14.79000, 7.494095
