##NAMES=Karibibite
##RRUFFID=R060307
##IDEAL CHEMISTRY=Fe^3+^_3_(As^3+^O_2_)_4_(As^3+^_2_O_5_)(OH)
##LOCALITY=Urucum, Municipio de Galilea, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellowish-brown acicular crystals lining cavities
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060307
23.92000, 15.07227
23.95000, 1.859375
23.98000, 14.25708
24.01000, 29.19287
24.04000, 37.22217
24.07000, 44.03638
24.10000, 48.15308
24.13000, 46.31934
24.16000, 51.35986
24.19000, 41.37817
24.22000, 32.39307
24.25000, 20.54858
24.28000, 4.098633
24.31000, 24.52539
24.34000, 61.40063
24.37000, 110.5042
24.40000, 161.6968
24.43000, 206.1274
24.46000, 253.2971
24.49000, 297.3755
24.52000, 328.1929
24.55000, 368.2188
24.58000, 393.6140
24.61000, 405.8381
24.64000, 414.1516
24.67000, 411.4841
24.70000, 392.1562
24.73000, 377.9575
24.76000, 355.9482
24.79000, 334.7888
24.82000, 332.1687
24.85000, 333.0085
24.88000, 322.3281
24.91000, 313.7642
24.94000, 298.3918
24.97000, 269.0049
25.00000, 239.2017
25.03000, 209.6399
25.06000, 183.6101
25.09000, 164.5996
25.12000, 152.5522
25.15000, 143.7852
25.18000, 138.2490
25.21000, 130.4233
25.24000, 131.4883
25.27000, 128.3638
25.30000, 137.5811
25.33000, 146.0620
25.36000, 153.5674
25.39000, 165.5676
25.42000, 176.8096
25.45000, 185.0308
25.48000, 193.6399
25.51000, 211.1365
25.54000, 219.9543
25.57000, 223.3035
25.60000, 218.2144
25.63000, 210.4270
25.66000, 209.0027
25.69000, 200.2202
25.72000, 184.2395
25.75000, 185.3511
25.78000, 179.4348
25.81000, 166.3816
25.84000, 164.1453
25.87000, 162.7090
25.90000, 154.8132
25.93000, 153.9258
25.96000, 168.2463
25.99000, 188.2844
26.02000, 213.8787
26.05000, 236.8176
26.08000, 256.4402
26.11000, 289.3389
26.14000, 329.1255
26.17000, 369.2114
26.20000, 425.2632
26.23000, 480.7200
26.26000, 537.9207
26.29000, 594.6763
26.32000, 645.5669
26.35000, 702.8416
26.38000, 757.4792
26.41000, 797.1201
26.44000, 804.1145
26.47000, 797.1926
26.50000, 781.7842
26.53000, 760.7690
26.56000, 721.3279
26.59000, 662.7998
26.62000, 605.8855
26.65000, 555.9651
26.68000, 513.3792
26.71000, 479.4065
26.74000, 458.8276
26.77000, 448.1628
26.80000, 443.9524
26.83000, 447.5085
26.86000, 450.4849
26.89000, 448.5469
26.92000, 438.1846
26.95000, 423.2441
26.98000, 415.8770
27.01000, 393.8306
27.04000, 364.1670
27.07000, 328.4048
27.10000, 276.0425
27.13000, 230.8999
27.16000, 199.8293
27.19000, 168.1396
27.22000, 124.6711
27.25000, 89.86426
27.28000, 75.50732
27.31000, 72.46216
27.34000, 66.99731
27.37000, 65.13306
27.40000, 70.67822
27.43000, 74.53369
27.46000, 81.76855
27.49000, 91.84375
27.52000, 98.57959
27.55000, 103.2961
27.58000, 106.9771
27.61000, 111.5581
27.64000, 117.6135
27.67000, 121.9365
27.70000, 126.8452
27.73000, 126.1206
27.76000, 122.1418
27.79000, 113.1738
27.82000, 100.9541
27.85000, 94.65308
27.88000, 98.84399
27.91000, 98.48120
27.94000, 93.44507
27.97000, 95.22485
28.00000, 88.42188
28.03000, 78.68530
28.06000, 69.66479
28.09000, 67.11108
28.12000, 72.34399
28.15000, 82.17358
28.18000, 95.68018
28.21000, 129.1628
28.24000, 179.8723
28.27000, 245.1582
28.30000, 314.8308
28.33000, 382.0300
28.36000, 442.8459
28.39000, 501.1389
28.42000, 561.4082
28.45000, 596.8450
28.48000, 627.2378
28.51000, 648.5271
28.54000, 659.3535
28.57000, 650.4463
28.60000, 604.7954
28.63000, 555.2917
28.66000, 495.8743
28.69000, 431.5928
28.72000, 375.9382
28.75000, 319.8799
28.78000, 265.2183
28.81000, 228.3323
28.84000, 205.6033
28.87000, 183.0710
28.90000, 174.1609
28.93000, 166.3359
28.96000, 152.6082
28.99000, 149.2825
29.02000, 164.3889
29.05000, 184.3860
29.08000, 187.3032
29.11000, 195.8999
29.14000, 213.9854
29.17000, 217.0698
29.20000, 221.1033
29.23000, 235.1116
29.26000, 240.8777
29.29000, 241.9238
29.32000, 242.3567
29.35000, 243.8857
29.38000, 241.4907
29.41000, 240.8071
29.44000, 247.0542
29.47000, 251.2695
29.50000, 240.3584
29.53000, 228.5662
29.56000, 220.6912
29.59000, 214.4570
29.62000, 203.9441
29.65000, 184.6487
29.68000, 163.7847
29.71000, 136.5068
29.74000, 118.9385
29.77000, 108.9849
29.80000, 99.43311
29.83000, 82.12793
29.86000, 66.78052
29.89000, 56.67017
29.92000, 58.79614
29.95000, 60.51660
29.98000, 52.93213
30.01000, 53.10278
30.04000, 52.59839
30.07000, 56.06885
30.10000, 65.17432
30.13000, 79.87500
30.16000, 103.8103
30.19000, 123.1807
30.22000, 141.7058
30.25000, 165.5056
30.28000, 181.9307
30.31000, 205.4604
30.34000, 228.8950
30.37000, 249.9041
30.40000, 264.9780
30.43000, 271.7363
30.46000, 275.5901
30.49000, 275.2781
30.52000, 259.1108
30.55000, 237.2383
30.58000, 208.0601
30.61000, 187.5566
30.64000, 175.0977
30.67000, 154.1731
30.70000, 132.3225
30.73000, 117.7363
30.76000, 102.6243
30.79000, 93.12573
30.82000, 92.00122
30.85000, 79.51099
30.88000, 63.70410
30.91000, 44.57129
30.94000, 34.87183
30.97000, 33.00635
31.00000, 32.00439
31.03000, 23.14600
31.06000, 22.22119
31.09000, 21.50952
31.12000, 18.92114
31.15000, 19.39697
31.18000, 18.22046
31.21000, 13.91431
31.24000, 16.56177
31.27000, 38.93384
31.30000, 57.04175
31.33000, 64.82422
31.36000, 73.98340
31.39000, 78.14600
31.42000, 68.31982
31.45000, 62.96167
31.48000, 57.20605
31.51000, 54.82324
31.54000, 53.64746
31.57000, 52.03149
31.60000, 56.49219
31.63000, 53.51025
31.66000, 58.50146
31.69000, 62.59473
31.72000, 64.45117
31.75000, 67.90967
31.78000, 72.99048
31.81000, 75.60425
31.84000, 79.18921
31.87000, 82.70850
31.90000, 85.11914
31.93000, 88.18213
31.96000, 87.75317
31.99000, 87.06470
32.02000, 85.21411
32.05000, 81.39380
32.08000, 78.35986
32.11000, 70.09521
32.14000, 67.03271
32.17000, 59.93237
32.20000, 44.52417
32.23000, 31.70752
32.26000, 21.32251
32.29000, 17.66943
32.32000, 18.64819
32.35000, 18.15869
32.38000, 13.78052
32.41000, 7.733887
32.44000, 5.445557
32.47000, 16.82373
32.50000, 18.51294
32.53000, 17.93433
32.56000, 8.772949
32.59000, 4.568115
32.62000, 13.42896
32.65000, 14.83057
32.68000, 24.51221
32.71000, 24.67578
32.74000, 14.59497
32.77000, 2.695557
32.80000, 4.563232
32.83000, 0.2275390
32.86000, 5.025391
32.89000, 6.145508
32.92000, 6.746826
32.95000, 4.541748
32.98000, 18.99219
33.01000, 28.84204
33.04000, 32.64624
33.07000, 23.00708
33.10000, 20.94922
33.13000, 19.50269
33.16000, 14.05566
33.19000, 6.066162
33.22000, 1.790771
33.25000, 11.24658
33.28000, 20.18921
33.31000, 20.73242
33.34000, 13.77759
33.37000, 3.580322
33.40000, 0.8659670
33.43000, 4.503662
33.46000, 4.915039
33.49000, 0.1394040
33.52000, 10.85229
33.55000, 46.40503
33.58000, 36.84229
33.61000, 56.48926
33.64000, 32.76074
33.67000, 29.46191
33.70000, 22.98267
33.73000, 28.62305
33.76000, 44.35303
33.79000, 65.07227
33.82000, 81.41089
33.85000, 96.36914
33.88000, 114.6167
33.91000, 133.1633
33.94000, 145.1697
33.97000, 161.6675
34.00000, 169.6399
34.03000, 187.4438
34.06000, 197.6272
34.09000, 205.8491
34.12000, 201.7156
34.15000, 191.1934
34.18000, 173.4492
34.21000, 158.3616
34.24000, 155.1536
34.27000, 153.4114
34.30000, 147.6372
34.33000, 139.2397
34.36000, 133.7451
34.39000, 118.2976
34.42000, 104.6792
34.45000, 92.91943
34.48000, 84.15894
34.51000, 77.24683
34.54000, 67.86353
34.57000, 65.75952
34.60000, 64.85376
34.63000, 66.40698
34.66000, 74.03906
34.69000, 84.55981
34.72000, 84.50903
34.75000, 81.20752
34.78000, 91.44409
34.81000, 92.51929
34.84000, 89.02295
34.87000, 92.34521
34.90000, 87.41577
34.93000, 83.85449
34.96000, 80.94067
34.99000, 72.97705
35.02000, 69.01001
35.05000, 62.70166
35.08000, 52.06079
35.11000, 40.85815
35.14000, 43.07349
35.17000, 52.72656
35.20000, 51.48755
35.23000, 42.02661
35.26000, 37.89380
35.29000, 38.45850
35.32000, 46.94092
35.35000, 59.19141
35.38000, 68.12964
35.41000, 79.74561
35.44000, 91.93774
35.47000, 95.14136
35.50000, 117.6904
35.53000, 135.9075
35.56000, 150.9126
35.59000, 156.1753
35.62000, 147.2854
35.65000, 137.2534
35.68000, 133.8091
35.71000, 129.5522
35.74000, 121.5029
35.77000, 113.9814
35.80000, 112.3374
35.83000, 97.06104
35.86000, 88.15210
35.89000, 66.04053
35.92000, 41.73682
35.95000, 30.49048
35.98000, 24.59204
36.01000, 15.76074
36.04000, 12.21655
36.07000, 12.77368
36.10000, 9.228271
36.13000, 1.819092
36.16000, 3.855957
36.19000, 7.286377
36.22000, 4.527832
36.25000, 1.119141
36.28000, 0.9384770
36.31000, 0.4877930
36.34000, 0.8989260
36.37000, 1.661377
36.40000, 10.20825
36.43000, 28.63013
36.46000, 38.51636
36.49000, 32.03491
36.52000, 28.19043
36.55000, 26.98389
36.58000, 25.18896
36.61000, 21.24731
36.64000, 20.30103
36.67000, 23.77441
36.70000, 22.99194
36.73000, 18.96631
36.76000, 13.93311
36.79000, 16.56274
36.82000, 17.00464
36.85000, 23.23462
36.88000, 24.81934
36.91000, 32.00757
36.94000, 42.61426
36.97000, 48.50342
37.00000, 52.74878
37.03000, 48.25903
37.06000, 47.44653
37.09000, 45.28125
37.12000, 51.06421
37.15000, 51.98340
37.18000, 55.64893
37.21000, 60.16309
37.24000, 63.40918
37.27000, 69.31323
37.30000, 71.91553
37.33000, 70.23633
37.36000, 65.58569
37.39000, 55.53320
37.42000, 45.55884
37.45000, 41.15308
37.48000, 39.53491
37.51000, 35.34546
37.54000, 29.23462
37.57000, 23.21167
37.60000, 13.59692
37.63000, 8.130615
37.66000, 2.842285
37.69000, 5.512207
37.72000, 2.946777
37.75000, 2.981689
37.78000, 4.887939
37.81000, 5.749023
37.84000, 7.529053
37.87000, 13.15869
37.90000, 17.33984
37.93000, 19.79248
37.96000, 18.51611
37.99000, 23.27148
38.02000, 27.71777
38.05000, 34.87476
38.08000, 33.51050
38.11000, 35.12524
38.14000, 37.46851
38.17000, 39.09937
38.20000, 39.27148
38.23000, 33.42725
38.26000, 38.27417
38.29000, 32.03882
38.32000, 29.41211
38.35000, 34.11353
38.38000, 40.46338
38.41000, 56.53125
38.44000, 64.63843
38.47000, 71.20386
38.50000, 89.45801
38.53000, 102.0706
38.56000, 105.5317
38.59000, 110.9812
38.62000, 117.8291
38.65000, 121.6550
38.68000, 124.6699
38.71000, 126.5833
38.74000, 127.5049
38.77000, 129.1853
38.80000, 127.5447
38.83000, 130.7827
38.86000, 130.6697
38.89000, 126.7253
38.92000, 118.9695
38.95000, 104.4424
38.98000, 93.92407
39.01000, 93.84424
39.04000, 83.33276
39.07000, 78.66992
39.10000, 73.11548
39.13000, 63.06982
39.16000, 57.35229
39.19000, 52.49951
39.22000, 40.83325
39.25000, 45.22192
39.28000, 39.67896
39.31000, 37.84473
39.34000, 45.38867
39.37000, 36.43140
39.40000, 30.63281
39.43000, 24.96289
39.46000, 27.19141
39.49000, 21.60864
39.52000, 23.23438
39.55000, 18.61914
39.58000, 13.94263
39.61000, 12.84937
39.64000, 17.13428
39.67000, 7.466797
