##NAMES=Schwertmannite
##RRUFFID=R220002
##IDEAL CHEMISTRY=Fe^3+^_16_O_16_(OH)_9.6_(S^6+^O_4_)_3.2_&#183;10H_2_O
##LOCALITY=A ditch in the Tinto river basin, SW Spain
##OWNER=Annika Parviainen
##SOURCE=Annika Parviainen
##DESCRIPTION=Sample LN-2 from Parviainen et al (2015). A crusty surface with a layered texture consisting of spherical aggregates exhibiting the three major phases schwertmannite, jarosite, and goethite
##DIFFRACTION SAMPLE DESCRIPTION=Powder, sharp peak is quartz
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R220002
8.617700, 11.58289
8.626000, 32.03436
8.634400, 15.52634
8.642800, 17.81720
8.651100, 18.94839
8.659500, 2.173187
8.667800, 7.761444
8.676200, 5.360474
8.684500, 28.96420
8.692900, 7.941498
8.701200, 14.83820
8.709600, 27.92215
8.718000, 29.42334
8.726300, 15.21536
8.734700, 13.34351
8.743000, 31.94479
8.751400, 38.65912
8.759700, 41.51898
8.768100, 18.21777
8.776500, 38.88965
8.784800, 19.61752
8.793200, 24.60632
8.801500, 36.48764
8.809900, 25.58414
8.818200, 37.94012
8.826600, 52.21637
8.834900, 23.87054
8.843300, 30.73767
8.851700, 43.86038
8.860000, 38.18228
8.868400, 18.75327
8.876700, 48.33340
8.885100, 34.93390
8.893400, 31.98718
8.901800, 49.94540
8.910100, 29.69171
8.918500, 18.37619
8.926900, 6.499634
8.935200, 30.64642
8.943600, 16.05170
8.951900, 7.656097
8.960300, 31.40540
8.968600, 27.27820
8.977000, 16.51498
8.985400, 18.38611
8.993700, 21.19876
9.002100, 29.26501
9.010400, 25.69119
9.018800, 32.62680
9.027100, 27.13391
9.035500, 7.880859
9.043800, 27.18771
9.052200, 11.87939
9.060600, 17.19766
9.068900, 4.316010
9.077300, 7.349304
9.085600, 14.83447
9.094000, 17.07886
9.102300, 5.748016
9.110700, 11.10104
9.119000, 37.34720
9.127400, 27.16669
9.135800, 29.62540
9.144100, 19.85596
9.152500, 9.984802
9.160800, 10.50781
9.169200, 22.82852
9.177500, 34.13153
9.185900, 22.23901
9.194300, 11.30594
9.202600, 21.10175
9.211000, 10.32019
9.219300, 14.49530
9.227700, 16.92978
9.236000, 9.414001
9.244400, 22.30740
9.252700, 22.00934
9.261100, 24.07489
9.269500, 10.47433
9.277800, 25.29523
9.286200, 15.68042
9.294500, 17.93536
9.302900, 7.348358
9.311200, 11.53116
9.319600, 22.66077
9.327900, 10.39789
9.336300, 21.70053
9.344700, 20.44925
9.353000, 33.31735
9.361400, 24.71945
9.369700, 25.55539
9.378100, 5.715240
9.386400, 9.837097
9.394800, 16.09265
9.403200, 19.49133
9.411500, 22.13431
9.419900, 6.351990
9.428200, 15.75928
9.436600, 20.31604
9.444900, 13.99100
9.453300, 0.8211060
9.461600, 26.70535
9.470000, 18.28006
9.478400, 30.54852
9.486700, 21.52859
9.495100, 7.829895
